name,position,team,tier
Josh Allen,QB,BUF,1
Lamar Jackson,QB,BAL,2
Joe Burrow,QB,CIN,2
Jalen Hurts,QB,PHI,3
Caleb Williams,QB,CHI,3
Justin Herbert,QB,LAC,3
Drake Maye,QB,NE,3
Jayden Daniels,QB,WAS,3
Jaxson Dart,QB,NYG,4
Trevor Lawrence,QB,JAC,4
Dak Prescott,QB,DAL,4
Patrick Mahomes,QB,KC,4
Brock Purdy,QB,SF,4
Bo Nix,QB,DEN,4
Kyler Murray,QB,MIN,5
Jared Goff,QB,DET,5
Jordan Love,QB,GB,5
Matthew Stafford,QB,LAR,5
Baker Mayfield,QB,TB,6
C.J. Stroud,QB,HOU,6
Tyler Shough,QB,NO,6
Cam Ward,QB,TEN,7
Daniel Jones,QB,IND,7
Malik Willis,QB,MIA,7
Jahmyr Gibbs,RB,DET,1
Bijan Robinson,RB,ATL,1
Christian McCaffrey,RB,SF,2
Jonathan Taylor,RB,IND,2
James Cook,RB,BUF,2
Saquon Barkley,RB,PHI,2
Kenneth Walker III,RB,KC,3
Omarion Hampton,RB,LAC,3
Chase Brown,RB,CIN,3
Ashton Jeanty,RB,LV,3
De'Von Achane,RB,MIA,3
Derrick Henry,RB,BAL,3
Jeremiyah Love,RB,ARI,3
Josh Jacobs,RB,GB,3
Cam Skattebo,RB,NYG,4
David Montgomery,RB,HOU,4
Javonte Williams,RB,DAL,4
Kyren Williams,RB,LAR,4
Breece Hall,RB,NYJ,4
Bhayshul Tuten,RB,JAC,5
Quinshon Judkins,RB,CLE,5
Travis Etienne,RB,NO,5
D'Andre Swift,RB,CHI,5
TreVeyon Henderson,RB,NE,5
Bucky Irving,RB,TB,5
Jadarian Price,RB,SEA,5
Rico Dowdle,RB,PIT,6
Jordan Mason,RB,MIN,6
Rhamondre Stevenson,RB,NE,6
J.K. Dobbins,RB,DEN,6
RJ Harvey,RB,DEN,6
Kyle Monangai,RB,CHI,6
Jaylen Warren,RB,PIT,6
Tony Pollard,RB,TEN,6
Jonathon Brooks,RB,CAR,6
Aaron Jones,RB,MIN,6
Ja'Marr Chase,WR,CIN,1
Puka Nacua,WR,LAR,1
Jaxon Smith-Njigba,WR,SEA,2
Justin Jefferson,WR,MIN,2
CeeDee Lamb,WR,DAL,2
Amon-Ra St. Brown,WR,DET,2
A.J. Brown,WR,NE,2
Rashee Rice,WR,KC,2
George Pickens,WR,DAL,2
Malik Nabers,WR,NYG,2
Drake London,WR,ATL,2
Nico Collins,WR,HOU,2
Emeka Egbuka,WR,TB,2
Chris Olave,WR,NO,2
Ladd McConkey,WR,LAC,2
Tee Higgins,WR,CIN,2
Davante Adams,WR,LAR,2
Tetairoa McMillan,WR,CAR,2
Garrett Wilson,WR,NYJ,2
Rome Odunze,WR,CHI,2
Carnell Tate,WR,TEN,2
DeVonta Smith,WR,PHI,2
Mike Evans,WR,SF,2
Christian Watson,WR,GB,3
Marvin Harrison Jr.,WR,ARI,3
Zay Flowers,WR,BAL,3
Jameson Williams,WR,DET,3
Brian Thomas Jr.,WR,JAC,3
Alec Pierce,WR,IND,3
Quentin Johnston,WR,LAC,3
Jaylen Waddle,WR,DEN,3
Terry McLaurin,WR,WAS,3
Luther Burden III,WR,CHI,3
Xavier Worthy,WR,KC,3
Parker Washington,WR,JAC,3
Jakobi Meyers,WR,JAC,3
Brock Bowers,TE,LV,1
Trey McBride,TE,ARI,2
Tyler Warren,TE,IND,2
Colston Loveland,TE,CHI,2
Tucker Kraft,TE,GB,3
Harold Fannin Jr.,TE,CLE,3
George Kittle,TE,SF,3
Sam LaPorta,TE,DET,4
Jake Ferguson,TE,DAL,4
Kyle Pitts,TE,ATL,4
Brenton Strange,TE,JAC,5
Travis Kelce,TE,KC,5
Dalton Kincaid,TE,BUF,5
Mark Andrews,TE,BAL,6
Isaiah Likely,TE,NYG,6
T.J. Hockenson,TE,MIN,6
Dallas Goedert,TE,PHI,6
Chig Okonkwo,TE,WAS,6
Hunter Henry,TE,NE,6
Juwan Johnson,TE,NO,7
AJ Barner,TE,SEA,7
Oronde Gadsden II,TE,LAC,7
Kenyon Sadiq,TE,NYJ,7
Brevin Jordan,TE,HOU,7
